filename,speaker,tags,transcription,
%23CUCKLIFE.mp3,tim,"cucklife, hashtag, cuck",hashtag cucklife,
%23SLUT.mp3,unknown man,"slut, hashtag",hashtag slut,
(LARRY)JIMBO.wav,larry,jimbo,"no you need to do it both, jimbo",
10GAYGUYS.mp3,tim,"gay, gays, guys",lets line up 10 gay guys,
15BOYSWAITINFORME.wav,weezer,"boys, weezer",15 boys waiting for me,
1sand2s.wav,tim,"dj, scratch pad",,
2GUYSINTHESHOWER.wav,weezer,"guys, guy, shower",just two guys in the shower,
2INCHESBESMALL.mp3,tim,"small, inch",2 inch would be really small,
2-6Twinkhitcar.wav,doug,"twink, twinks, car","so a twink hit your car, is what youre saying",
20Twinks.mp3,doug,"twink, twinks, surrounded",I was surrounded by 20 twinks,
3HOTGUYS.mp3,tim,"hot guys, hot, guys",were 3 hot guys!,
4QUARTERS.wav,jeff fischer,"football, football game, 4 quarters",this game is 4 quarters long,
5th.mp3,unknown man,"fifth, 5th",fifth?!,
"8-21Showpony,stableboy.wav",willy,"show pony, pony, stable boy","Im a show pony, hes more of a stable boy",
9-3Dumpedher.wav,plowboy,"dumped, dump",I dumped her!,
AWINK.wav,cat,wink,"He gave me a wink, like you better believe it mister",
AARRRRRRGH.wav,tim taylor,"home improvement, tim taylor",signature tim taylor argh noise,
ABSOLUTEDELIGHT.wav,cat,delight,You have been an absolute delight!,
ABSOLUTELY.wav,unknown man,absolutely ,"yea, absolutely",
ACEELAUGH.mp3,unknown man,"laugh, laughing","ha, ha",
ACTTOGETHER.wav,caller douglas,"act together, douglas",he better get his act together,
ACTIONSSPEAKLOUDER.mp3,plowboy,actions speak louder than words,"well, actions speak louder than, you know",
ADDMUSTARD.mp3,plowboy,"mustard, plowboy, boom, it s over",you know you add the mustard and boom its over,
ADMIRETIM.mp3,unknown woman,"admire tim, woman","like I said, I admire tim",
ADMITIWASDRUNK.wav,weezer,"admit, drunk, weezer","Ill admit, I was drunk",
AFFECTIONFORDOUG.mp3,cat charlie,"glorious man, I love you","youre a glorious man, you really are, I love you",
AGREETODISAGREE.mp3,unknown woman,agree to disagree,"Im going to agree to disagree, agreeably ",
AHYEA-JIMTHOMAS.mp3,jim thomas,"yea, jim thomas","uhhhh, yea",
AHHHHH.wav,tim,"disgust, ahh",ahhhhhhhh,
AINTCHANGIN.wav,doug,"changing, changin, nothin",we aint changin nothin,
ALLOVERMYCHEST.mp3,tim,"pop, chest",could it pop all over my chest,
ALLTHEJEWS-TIMBERFAKE.mp3,timberfake,"jews, timberfake",get all them jews in there,
ALLTIMECATCHER.wav,willy,catcher,I believe Ill be the all time catcher,
ALLENCRAIGPISSED.wav,tim,"allen craig, pissed",how pissed though do you think allen craig is?,
ALLTHESAME.wav,charlie,all the same,theyre all the same,
ALMOSTOVER.mp3,john mozeliak ,"is this almost over, interview, guest",is this almost over?,
ALOTOFLEGS.mp3,janie the lesbian,"legs, lesbian, janny",theres a lot of legs involved,
ALPENA-FREEDOTEM.mp3,alpena,"free dotem, #freedotem, alpena",I think were getting to that point where you gotta free dotem,
ALRIGHTALRIGHT.wav,matthew mcconaughey,"alright, mcconaughey",alright alright alright,
ALRIGHTPAL.wav,cat,"alright, pal",alright pal!,
ALWAYSOPENINGMOUTH.mp3,tim,"opening mouth, doug ",Dougs always opening his mouth,
AMEN.wav,joe strauss,"amen, jesus",Amen,
AMERICAAMERICA.wav,willy,america,"america, america, this is you",
ANALATSBARRO.mp3,tim,"anal, sbarro",go up to sbarro and have anal,
ANDIQUOTE.wav,larry ,"quote, larry nickel",and I quote!,
ANGRYTROLL.mp3,unknown,angry old troll,youre an angry old troll!,
ANYTHINGELSE.mp3,larry,anything else,anything else?,
APACHESCREAM.mp3,apache,"scream, apache",*apache scream*,
AREYOUTALKINGTOME.mp3,unknown woman,"woman, talking to me",are you talking to me?,
ARROGANTPRICK.wav,barry switzer,"johnny manziel, barry switzer, prick, arrogant",arrogant little prick,
ASKMYSELF.wav,tim,"dont know, dunno","who knows, hey I dunno, listen I dont know, do I know?  No I dont",
ATTRACTIVEGUY.mp3,charlie,"guy, attractive",I think youre an attractive guy!,
AUDIENCEISSOSEXUAL.mp3,tim,"audience, sexual",our audience is so sexual!,
AUTOMOBILEINMYMOUTH.mp3,Rich from Maryland Heights,"mouth, automobile, caller rich, maryland heights",he doesnt even know what automobile he is trying to put in my mouth,
AWYEASURE.wav,willy,"sure, yea ",awwww yea sure!,
AWFULCOUGH.wav,cat,"cough, sick",*cough cough*,
Anthracite.mp3,willy,"grey, anthracite, jerseys, mizzou football","wheres the grey, wheres the anthracite",
AskFixings.wav,stevie janowski,"fixins, kenny power, eastbound and down",,
BABEINWOODS.mp3,bull,"bull, babe","youre just a babe in the woods, my friend",
BACHELORTATOO.mp3,unknown woman,"bachelor, bachelorette, tattoo",my tattoo says you cant someone love someone else until you truly love yourself,
BACKDOOR.wav,plowboy,"backdoor, plowboy",my backdoor doesnt open,
BACKTOYOUTIM.mp3,tom,"tom, salt and smoke",back to you tim,
BACKTOYOU.mp3,doug,"news, broadcast, television, steve","thatll do it.  Back to you, Steve",
BACKGROUNDCHECKSFORDOUG.mp3,tj moe,"tj moe, child, molest",im afraid if doug comes to join Im may have to  do backround checks because the child molestors will come with him,
BACKINGMYASSINTOYOU.mp3,tim,"back, ass",backing my ass into you,
BADANDBUTTUGLY.wav,doug,"bad, ugly","were very bad, and butt ugly",
BADBATCH.wav,doug,"bad, batch",you got a bad batch.  Tim: I got a bad batch,
