filename,speaker,tags,transcription
%23CUCKLIFE.mp3,tim,"cucklife, hashtag, cuck",hashtag cucklife
%23SLUT.mp3,unknown,"slut, hashtag",hashtag slut
(LARRY)%20JIMBO.wav,larry,jimbo,"no you need to do it both, jimbo"
10%20GAY%20GUYS.mp3,tim,"gay, gays, guys",let's line up 10 gay guys
15%20BOYS%20WAITIN%20FOR%20ME.wav,weezer,"boys, weezer",15 boys waiting for me
1s%20and%202s.wav,tim,"dj, scratch pad",
2%20GUYS%20IN%20THE%20SHOWER.wav,weezer,"guys, guy, shower",just two guys in the shower
2%20INCHES%20BE%20SMALL.mp3,tim,"small, inch",2 inch would be really small
2-6%20Twink%20hit%20car.wav,doug,"twink, twinks, car","so a twink hit your car, is what you're saying"
20%20Twinks.mp3,doug,"twink, twinks, surrounded",I was surrounded by 20 twinks
3%20HOT%20GUYS.mp3,tim,"hot guys, hot, guys",we're 3 hot guys!
