id,filename,speaker,tags,transcription
1,%23CUCKLIFE.mp3,tim,"cucklife, hashtag, cuck",hashtag cucklife
2,%23SLUT.mp3,unknown man,"slut, hashtag",hashtag slut
3,(LARRY)JIMBO.wav,larry,jimbo,"no you need to do it both, jimbo"
4,10GAYGUYS.mp3,tim,"gay, gays, guys",lets line up 10 gay guys
5,15BOYSWAITINFORME.wav,weezer,"boys, weezer",15 boys waiting for me
6,1sand2s.wav,tim,"dj, scratch pad",
7,2GUYSINTHESHOWER.wav,weezer,"guys, guy, shower",just two guys in the shower
8,2INCHESBESMALL.mp3,tim,"small, inch",2 inch would be really small
9,2-6Twinkhitcar.wav,doug,"twink, twinks, car","so a twink hit your car, is what youre saying"
10,20Twinks.mp3,doug,"twink, twinks, surrounded",I was surrounded by 20 twinks
11,3HOTGUYS.mp3,tim,"hot guys, hot, guys",were 3 hot guys!
12,4QUARTERS.wav,jeff fischer,"football, football game, 4 quarters",this game is 4 quarters long
13,5th.mp3,unknown man,"fifth, 5th",fifth?!
14,"8-21Showpony,stableboy.wav",willy,"show pony, pony, stable boy","Im a show pony, hes more of a stable boy"
15,9-3Dumpedher.wav,plowboy,"dumped, dump",I dumped her!
16,AWINK.wav,cat,wink,"He gave me a wink, like you better believe it mister"
17,AARRRRRRGH.wav,tim taylor,"home improvement, tim taylor",signature tim taylor argh noise
18,ABSOLUTEDELIGHT.wav,cat,delight,You have been an absolute delight!
19,ABSOLUTELY.wav,unknown man,absolutely ,"yea, absolutely"
20,ACEELAUGH.mp3,unknown man,"laugh, laughing","ha, ha"
21,ACTTOGETHER.wav,caller douglas,"act together, douglas",he better get his act together
22,ACTIONSSPEAKLOUDER.mp3,plowboy,actions speak louder than words,"well, actions speak louder than, you know"
23,ADDMUSTARD.mp3,plowboy,"mustard, plowboy, boom, it s over",you know you add the mustard and boom its over
24,ADMIRETIM.mp3,unknown woman,"admire tim, woman","like I said, I admire tim"
25,ADMITIWASDRUNK.wav,weezer,"admit, drunk, weezer","Ill admit, I was drunk"
26,AFFECTIONFORDOUG.mp3,cat charlie,"glorious man, I love you","youre a glorious man, you really are, I love you"
27,AGREETODISAGREE.mp3,unknown woman,agree to disagree,"Im going to agree to disagree, agreeably "
28,AHYEA-JIMTHOMAS.mp3,jim thomas,"yea, jim thomas","uhhhh, yea"
29,AHHHHH.wav,tim,"disgust, ahh",ahhhhhhhh
30,AINTCHANGIN.wav,doug,"changing, changin, nothin",we aint changin nothin
31,ALLOVERMYCHEST.mp3,tim,"pop, chest",could it pop all over my chest
32,ALLTHEJEWS-TIMBERFAKE.mp3,timberfake,"jews, timberfake",get all them jews in there
33,ALLTIMECATCHER.wav,willy,catcher,I believe Ill be the all time catcher
34,ALLENCRAIGPISSED.wav,tim,"allen craig, pissed",how pissed though do you think allen craig is?
35,ALLTHESAME.wav,charlie,all the same,theyre all the same
36,ALMOSTOVER.mp3,john mozeliak ,"is this almost over, interview, guest",is this almost over?
37,ALOTOFLEGS.mp3,janie the lesbian,"legs, lesbian, janny",theres a lot of legs involved
38,ALPENA-FREEDOTEM.mp3,alpena,"free dotem, #freedotem, alpena",I think were getting to that point where you gotta free dotem
39,ALRIGHTALRIGHT.wav,matthew mcconaughey,"alright, mcconaughey",alright alright alright
40,ALRIGHTPAL.wav,cat,"alright, pal",alright pal!
41,ALWAYSOPENINGMOUTH.mp3,tim,"opening mouth, doug ",Dougs always opening his mouth
42,AMEN.wav,joe strauss,"amen, jesus",Amen
43,AMERICAAMERICA.wav,willy,america,"america, america, this is you"
44,ANALATSBARRO.mp3,tim,"anal, sbarro",go up to sbarro and have anal
45,ANDIQUOTE.wav,larry ,"quote, larry nickel",and I quote!
46,ANGRYTROLL.mp3,unknown,angry old troll,youre an angry old troll!
47,ANYTHINGELSE.mp3,larry,anything else,anything else?
48,APACHESCREAM.mp3,apache,"scream, apache",*apache scream*
49,AREYOUTALKINGTOME.mp3,unknown woman,"woman, talking to me",are you talking to me?
50,ARROGANTPRICK.wav,barry switzer,"johnny manziel, barry switzer, prick, arrogant",arrogant little prick
51,ASKMYSELF.wav,tim,"dont know, dunno","who knows, hey I dunno, listen I dont know, do I know?  No I dont"
52,ATTRACTIVEGUY.mp3,charlie,"guy, attractive",I think youre an attractive guy!
53,AUDIENCEISSOSEXUAL.mp3,tim,"audience, sexual",our audience is so sexual!
54,AUTOMOBILEINMYMOUTH.mp3,Rich from Maryland Heights,"mouth, automobile, caller rich, maryland heights",he doesnt even know what automobile he is trying to put in my mouth
